application_date,segment,case_count,application_year,application_month,application_dow,application_qtr,application_daytype,application_season,dist_holi,dist_muharram,dist_dussehra,dist_diwali,dist_christmas,case_count,WPI,WPI-3m,WPI-6m
5/13/2017,2,6431,2017,5,5,QTR2,weekday,summer,293,141,140,159,226,6431,,,
5/14/2017,1,338,2017,5,6,QTR2,weekend,summer,292,140,139,158,225,338,,,
5/14/2017,2,5005,2017,5,6,QTR2,weekend,summer,292,140,139,158,225,5005,,,
5/15/2017,1,1733,2017,5,0,QTR2,weekday,summer,291,139,138,157,224,1733,,,
5/15/2017,2,8251,2017,5,0,QTR2,weekday,summer,291,139,138,157,224,8251,,,
5/16/2017,1,1500,2017,5,1,QTR2,weekday,summer,290,138,137,156,223,1500,,,
5/16/2017,2,8312,2017,5,1,QTR2,weekday,summer,290,138,137,156,223,8312,,,
5/17/2017,1,1632,2017,5,2,QTR2,weekday,summer,289,137,136,155,222,1632,,,
5/17/2017,2,9642,2017,5,2,QTR2,weekday,summer,289,137,136,155,222,9642,,,
5/18/2017,1,1530,2017,5,3,QTR2,weekday,summer,288,136,135,154,221,1530,,,
5/18/2017,2,13979,2017,5,3,QTR2,weekday,summer,288,136,135,154,221,13979,,,
5/19/2017,1,1576,2017,5,4,QTR2,weekday,summer,287,135,134,153,220,1576,,,
5/19/2017,2,10976,2017,5,4,QTR2,weekday,summer,287,135,134,153,220,10976,,,
5/20/2017,1,1220,2017,5,5,QTR2,weekday,summer,286,134,133,152,219,1220,,,
5/20/2017,2,10215,2017,5,5,QTR2,weekday,summer,286,134,133,152,219,10215,,,
5/21/2017,1,458,2017,5,6,QTR2,weekend,summer,285,133,132,151,218,458,,,
5/21/2017,2,7058,2017,5,6,QTR2,weekend,summer,285,133,132,151,218,7058,,,
5/22/2017,1,1746,2017,5,0,QTR2,weekday,summer,284,132,131,150,217,1746,,,
5/22/2017,2,8148,2017,5,0,QTR2,weekday,summer,284,132,131,150,217,8148,,,
5/23/2017,1,1615,2017,5,1,QTR2,weekday,summer,283,131,130,149,216,1615,,,
5/23/2017,2,8625,2017,5,1,QTR2,weekday,summer,283,131,130,149,216,8625,,,
5/24/2017,1,1623,2017,5,2,QTR2,weekday,summer,282,130,129,148,215,1623,,,
5/24/2017,2,7599,2017,5,2,QTR2,weekday,summer,282,130,129,148,215,7599,,,
5/25/2017,1,1529,2017,5,3,QTR2,weekday,summer,281,129,128,147,214,1529,,,
5/25/2017,2,6402,2017,5,3,QTR2,weekday,summer,281,129,128,147,214,6402,,,
5/26/2017,1,1587,2017,5,4,QTR2,weekday,summer,280,128,127,146,213,1587,,,
5/26/2017,2,4841,2017,5,4,QTR2,weekday,summer,280,128,127,146,213,4841,,,
5/27/2017,1,1277,2017,5,5,QTR2,weekday,summer,279,127,126,145,212,1277,,,
5/27/2017,2,3915,2017,5,5,QTR2,weekday,summer,279,127,126,145,212,3915,,,
5/28/2017,1,524,2017,5,6,QTR2,weekend,summer,278,126,125,144,211,524,,,
5/28/2017,2,1193,2017,5,6,QTR2,weekend,summer,278,126,125,144,211,1193,,,
5/29/2017,1,1935,2017,5,0,QTR2,weekday,summer,277,125,124,143,210,1935,,,
5/29/2017,2,747,2017,5,0,QTR2,weekday,summer,277,125,124,143,210,747,,,
5/30/2017,1,1732,2017,5,1,QTR2,weekday,summer,276,124,123,142,209,1732,,,
5/30/2017,2,1396,2017,5,1,QTR2,weekday,summer,276,124,123,142,209,1396,,,
5/31/2017,1,6740,2017,5,2,QTR2,weekday,summer,275,123,122,141,208,6740,,,
5/31/2017,2,2041,2017,5,2,QTR2,weekday,summer,275,123,122,141,208,2041,,,
6/1/2017,1,3,2017,6,3,QTR2,weekday,monsoon,274,122,121,140,207,3,,,
6/1/2017,2,4245,2017,6,3,QTR2,weekday,monsoon,274,122,121,140,207,4245,,,
6/2/2017,1,642,2017,6,4,QTR2,weekday,monsoon,273,121,120,139,206,642,,,
6/2/2017,2,3926,2017,6,4,QTR2,weekday,monsoon,273,121,120,139,206,3926,,,
6/3/2017,1,497,2017,6,5,QTR2,weekday,monsoon,272,120,119,138,205,497,,,
6/3/2017,2,4417,2017,6,5,QTR2,weekday,monsoon,272,120,119,138,205,4417,,,
6/4/2017,1,408,2017,6,6,QTR2,weekend,monsoon,271,119,118,137,204,408,,,
6/4/2017,2,1800,2017,6,6,QTR2,weekend,monsoon,271,119,118,137,204,1800,,,
6/5/2017,1,1696,2017,6,0,QTR2,weekday,monsoon,270,118,117,136,203,1696,,,
6/5/2017,2,2929,2017,6,0,QTR2,weekday,monsoon,270,118,117,136,203,2929,,,
6/6/2017,1,193,2017,6,1,QTR2,weekday,monsoon,269,117,116,135,202,193,,,
6/6/2017,2,4258,2017,6,1,QTR2,weekday,monsoon,269,117,116,135,202,4258,,,
6/7/2017,1,1736,2017,6,2,QTR2,weekday,monsoon,268,116,115,134,201,1736,,,
6/7/2017,2,4206,2017,6,2,QTR2,weekday,monsoon,268,116,115,134,201,4206,,,
6/8/2017,1,1445,2017,6,3,QTR2,weekday,monsoon,267,115,114,133,200,1445,,,
6/8/2017,2,4547,2017,6,3,QTR2,weekday,monsoon,267,115,114,133,200,4547,,,
6/9/2017,1,2061,2017,6,4,QTR2,weekday,monsoon,266,114,113,132,199,2061,,,
6/9/2017,2,4954,2017,6,4,QTR2,weekday,monsoon,266,114,113,132,199,4954,,,
6/10/2017,1,1549,2017,6,5,QTR2,weekday,monsoon,265,113,112,131,198,1549,,,
6/10/2017,2,5803,2017,6,5,QTR2,weekday,monsoon,265,113,112,131,198,5803,,,
6/11/2017,1,667,2017,6,6,QTR2,weekend,monsoon,264,112,111,130,197,667,,,
6/11/2017,2,6336,2017,6,6,QTR2,weekend,monsoon,264,112,111,130,197,6336,,,
6/12/2017,1,2176,2017,6,0,QTR2,weekday,monsoon,263,111,110,129,196,2176,,,
6/12/2017,2,11984,2017,6,0,QTR2,weekday,monsoon,263,111,110,129,196,11984,,,
6/13/2017,1,1972,2017,6,1,QTR2,weekday,monsoon,262,110,109,128,195,1972,,,
6/13/2017,2,16631,2017,6,1,QTR2,weekday,monsoon,262,110,109,128,195,16631,,,
6/14/2017,1,2053,2017,6,2,QTR2,weekday,monsoon,261,109,108,127,194,2053,,,
6/14/2017,2,16384,2017,6,2,QTR2,weekday,monsoon,261,109,108,127,194,16384,,,
6/15/2017,1,1958,2017,6,3,QTR2,weekday,monsoon,260,108,107,126,193,1958,,,
6/15/2017,2,16919,2017,6,3,QTR2,weekday,monsoon,260,108,107,126,193,16919,,,
6/16/2017,1,2111,2017,6,4,QTR2,weekday,monsoon,259,107,106,125,192,2111,,,
6/16/2017,2,16392,2017,6,4,QTR2,weekday,monsoon,259,107,106,125,192,16392,,,
6/17/2017,1,1744,2017,6,5,QTR2,weekday,monsoon,258,106,105,124,191,1744,,,
6/17/2017,2,14947,2017,6,5,QTR2,weekday,monsoon,258,106,105,124,191,14947,,,
6/18/2017,1,706,2017,6,6,QTR2,weekend,monsoon,257,105,104,123,190,706,,,
6/18/2017,2,10709,2017,6,6,QTR2,weekend,monsoon,257,105,104,123,190,10709,,,
6/19/2017,1,2443,2017,6,0,QTR2,weekday,monsoon,256,104,103,122,189,2443,,,
6/19/2017,2,14096,2017,6,0,QTR2,weekday,monsoon,256,104,103,122,189,14096,,,
6/20/2017,1,2127,2017,6,1,QTR2,weekday,monsoon,255,103,102,121,188,2127,,,
6/20/2017,2,16381,2017,6,1,QTR2,weekday,monsoon,255,103,102,121,188,16381,,,
6/21/2017,1,2363,2017,6,2,QTR2,weekday,monsoon,254,102,101,120,187,2363,,,
6/21/2017,2,16155,2017,6,2,QTR2,weekday,monsoon,254,102,101,120,187,16155,,,
6/22/2017,1,2495,2017,6,3,QTR2,weekday,monsoon,253,101,100,119,186,2495,,,
6/22/2017,2,14993,2017,6,3,QTR2,weekday,monsoon,253,101,100,119,186,14993,,,
6/23/2017,1,2639,2017,6,4,QTR2,weekday,monsoon,252,100,99,118,185,2639,,,
6/23/2017,2,11908,2017,6,4,QTR2,weekday,monsoon,252,100,99,118,185,11908,,,
6/24/2017,1,2582,2017,6,5,QTR2,weekday,monsoon,251,99,98,117,184,2582,,,
6/24/2017,2,8951,2017,6,5,QTR2,weekday,monsoon,251,99,98,117,184,8951,,,
6/25/2017,1,1647,2017,6,6,QTR2,weekend,monsoon,250,98,97,116,183,1647,,,
6/25/2017,2,5764,2017,6,6,QTR2,weekend,monsoon,250,98,97,116,183,5764,,,
6/26/2017,1,1774,2017,6,0,QTR2,weekday,monsoon,249,97,96,115,182,1774,,,
6/26/2017,2,5728,2017,6,0,QTR2,weekday,monsoon,249,97,96,115,182,5728,,,
6/27/2017,1,1935,2017,6,1,QTR2,weekday,monsoon,248,96,95,114,181,1935,,,
6/27/2017,2,3152,2017,6,1,QTR2,weekday,monsoon,248,96,95,114,181,3152,,,
6/28/2017,1,2168,2017,6,2,QTR2,weekday,monsoon,247,95,94,113,180,2168,,,
6/28/2017,2,2517,2017,6,2,QTR2,weekday,monsoon,247,95,94,113,180,2517,,,
6/29/2017,1,2291,2017,6,3,QTR2,weekday,monsoon,246,94,93,112,179,2291,,,
6/29/2017,2,1899,2017,6,3,QTR2,weekday,monsoon,246,94,93,112,179,1899,,,
6/30/2017,1,9750,2017,6,4,QTR2,weekday,monsoon,245,93,92,111,178,9750,,,
6/30/2017,2,1973,2017,6,4,QTR2,weekday,monsoon,245,93,92,111,178,1973,,,
7/1/2017,1,1811,2017,7,5,QTR3,weekday,monsoon,244,92,91,110,177,1811,,,
7/1/2017,2,2073,2017,7,5,QTR3,weekday,monsoon,244,92,91,110,177,2073,,,
7/2/2017,1,5,2017,7,6,QTR3,weekend,monsoon,243,91,90,109,176,5,,,
7/2/2017,2,1343,2017,7,6,QTR3,weekend,monsoon,243,91,90,109,176,1343,,,
7/3/2017,2,2932,2017,7,0,QTR3,weekday,monsoon,242,90,89,108,175,2932,,,
7/4/2017,2,4657,2017,7,1,QTR3,weekday,monsoon,241,89,88,107,174,4657,,,
7/5/2017,1,1304,2017,7,2,QTR3,weekday,monsoon,240,88,87,106,173,1304,,,
7/5/2017,2,4882,2017,7,2,QTR3,weekday,monsoon,240,88,87,106,173,4882,,,
7/6/2017,1,154,2017,7,3,QTR3,weekday,monsoon,239,87,86,105,172,154,,,
7/6/2017,2,5000,2017,7,3,QTR3,weekday,monsoon,239,87,86,105,172,5000,,,
7/7/2017,1,495,2017,7,4,QTR3,weekday,monsoon,238,86,85,104,171,495,,,
7/7/2017,2,5322,2017,7,4,QTR3,weekday,monsoon,238,86,85,104,171,5322,,,
7/8/2017,2,4885,2017,7,5,QTR3,weekday,monsoon,237,85,84,103,170,4885,,,
7/9/2017,2,3939,2017,7,6,QTR3,weekend,monsoon,236,84,83,102,169,3939,,,
7/10/2017,1,1878,2017,7,0,QTR3,weekday,monsoon,235,83,82,101,168,1878,,,
7/10/2017,2,5733,2017,7,0,QTR3,weekday,monsoon,235,83,82,101,168,5733,,,
7/11/2017,1,1510,2017,7,1,QTR3,weekday,monsoon,234,82,81,100,167,1510,,,
7/11/2017,2,12403,2017,7,1,QTR3,weekday,monsoon,234,82,81,100,167,12403,,,
7/12/2017,1,1713,2017,7,2,QTR3,weekday,monsoon,233,81,80,99,166,1713,,,
7/12/2017,2,16716,2017,7,2,QTR3,weekday,monsoon,233,81,80,99,166,16716,,,
7/13/2017,1,1540,2017,7,3,QTR3,weekday,monsoon,232,80,79,98,165,1540,,,
7/13/2017,2,19424,2017,7,3,QTR3,weekday,monsoon,232,80,79,98,165,19424,,,
7/14/2017,1,1552,2017,7,4,QTR3,weekday,monsoon,231,79,78,97,164,1552,,,
7/14/2017,2,19432,2017,7,4,QTR3,weekday,monsoon,231,79,78,97,164,19432,,,
7/15/2017,1,1185,2017,7,5,QTR3,weekday,monsoon,230,78,77,96,163,1185,,,
7/15/2017,2,17602,2017,7,5,QTR3,weekday,monsoon,230,78,77,96,163,17602,,,
7/16/2017,1,602,2017,7,6,QTR3,weekend,monsoon,229,77,76,95,162,602,,,
7/16/2017,2,11732,2017,7,6,QTR3,weekend,monsoon,229,77,76,95,162,11732,,,
7/17/2017,1,1842,2017,7,0,QTR3,weekday,monsoon,228,76,75,94,161,1842,,,
7/17/2017,2,18006,2017,7,0,QTR3,weekday,monsoon,228,76,75,94,161,18006,,,
7/18/2017,1,1568,2017,7,1,QTR3,weekday,monsoon,227,75,74,93,160,1568,,,
7/18/2017,2,20867,2017,7,1,QTR3,weekday,monsoon,227,75,74,93,160,20867,,,
7/19/2017,1,1592,2017,7,2,QTR3,weekday,monsoon,226,74,73,92,159,1592,,,
7/19/2017,2,21357,2017,7,2,QTR3,weekday,monsoon,226,74,73,92,159,21357,,,
7/20/2017,1,1558,2017,7,3,QTR3,weekday,monsoon,225,73,72,91,158,1558,,,
7/20/2017,2,22155,2017,7,3,QTR3,weekday,monsoon,225,73,72,91,158,22155,,,
7/21/2017,1,1623,2017,7,4,QTR3,weekday,monsoon,224,72,71,90,157,1623,,,
7/21/2017,2,17095,2017,7,4,QTR3,weekday,monsoon,224,72,71,90,157,17095,,,
7/22/2017,1,1087,2017,7,5,QTR3,weekday,monsoon,223,71,70,89,156,1087,,,
7/22/2017,2,15158,2017,7,5,QTR3,weekday,monsoon,223,71,70,89,156,15158,,,
7/23/2017,1,450,2017,7,6,QTR3,weekend,monsoon,222,70,69,88,155,450,,,
7/23/2017,2,10019,2017,7,6,QTR3,weekend,monsoon,222,70,69,88,155,10019,,,
7/24/2017,1,1774,2017,7,0,QTR3,weekday,monsoon,221,69,68,87,154,1774,,,
7/24/2017,2,9565,2017,7,0,QTR3,weekday,monsoon,221,69,68,87,154,9565,,,
7/25/2017,1,1540,2017,7,1,QTR3,weekday,monsoon,220,68,67,86,153,1540,,,
7/25/2017,2,9210,2017,7,1,QTR3,weekday,monsoon,220,68,67,86,153,9210,,,
7/26/2017,1,1586,2017,7,2,QTR3,weekday,monsoon,219,67,66,85,152,1586,,,
7/26/2017,2,8593,2017,7,2,QTR3,weekday,monsoon,219,67,66,85,152,8593,,,
7/27/2017,1,1502,2017,7,3,QTR3,weekday,monsoon,218,66,65,84,151,1502,,,
7/27/2017,2,6654,2017,7,3,QTR3,weekday,monsoon,218,66,65,84,151,6654,,,
7/28/2017,1,1710,2017,7,4,QTR3,weekday,monsoon,217,65,64,83,150,1710,,,
7/28/2017,2,2203,2017,7,4,QTR3,weekday,monsoon,217,65,64,83,150,2203,,,
7/29/2017,1,1375,2017,7,5,QTR3,weekday,monsoon,216,64,63,82,149,1375,,,
7/29/2017,2,1251,2017,7,5,QTR3,weekday,monsoon,216,64,63,82,149,1251,,,
7/30/2017,1,681,2017,7,6,QTR3,weekend,monsoon,215,63,62,81,148,681,,,
7/30/2017,2,798,2017,7,6,QTR3,weekend,monsoon,215,63,62,81,148,798,,,
7/31/2017,1,11594,2017,7,0,QTR3,weekday,monsoon,214,62,61,80,147,11594,,,
7/31/2017,2,1887,2017,7,0,QTR3,weekday,monsoon,214,62,61,80,147,1887,,,
8/1/2017,1,921,2017,8,1,QTR3,weekday,monsoon,213,61,60,79,146,921,,,
8/1/2017,2,4455,2017,8,1,QTR3,weekday,monsoon,213,61,60,79,146,4455,,,
8/2/2017,2,5794,2017,8,2,QTR3,weekday,monsoon,212,60,59,78,145,5794,,,
8/3/2017,1,2,2017,8,3,QTR3,weekday,monsoon,211,59,58,77,144,2,,,
8/3/2017,2,5792,2017,8,3,QTR3,weekday,monsoon,211,59,58,77,144,5792,,,
8/4/2017,1,1,2017,8,4,QTR3,weekday,monsoon,210,58,57,76,143,1,,,
8/4/2017,2,5173,2017,8,4,QTR3,weekday,monsoon,210,58,57,76,143,5173,,,
8/5/2017,1,4,2017,8,5,QTR3,weekday,monsoon,209,57,56,75,142,4,,,
8/5/2017,2,5289,2017,8,5,QTR3,weekday,monsoon,209,57,56,75,142,5289,,,
8/6/2017,1,3,2017,8,6,QTR3,weekend,monsoon,208,56,55,74,141,3,,,
8/6/2017,2,4052,2017,8,6,QTR3,weekend,monsoon,208,56,55,74,141,4052,,,
8/7/2017,1,1893,2017,8,0,QTR3,weekday,monsoon,207,55,54,73,140,1893,,,
8/7/2017,2,4551,2017,8,0,QTR3,weekday,monsoon,207,55,54,73,140,4551,,,
8/8/2017,1,1850,2017,8,1,QTR3,weekday,monsoon,206,54,53,72,139,1850,,,
8/8/2017,2,5451,2017,8,1,QTR3,weekday,monsoon,206,54,53,72,139,5451,,,
8/9/2017,1,2010,2017,8,2,QTR3,weekday,monsoon,205,53,52,71,138,2010,,,
8/9/2017,2,6984,2017,8,2,QTR3,weekday,monsoon,205,53,52,71,138,6984,,,
8/10/2017,1,2037,2017,8,3,QTR3,weekday,monsoon,204,52,51,70,137,2037,,,
8/10/2017,2,7667,2017,8,3,QTR3,weekday,monsoon,204,52,51,70,137,7667,,,
8/11/2017,1,1934,2017,8,4,QTR3,weekday,monsoon,203,51,50,69,136,1934,,,
8/11/2017,2,13612,2017,8,4,QTR3,weekday,monsoon,203,51,50,69,136,13612,,,
8/12/2017,1,1838,2017,8,5,QTR3,weekday,monsoon,202,50,49,68,135,1838,,,
8/12/2017,2,17690,2017,8,5,QTR3,weekday,monsoon,202,50,49,68,135,17690,,,
8/13/2017,1,965,2017,8,6,QTR3,weekend,monsoon,201,49,48,67,134,965,,,
8/13/2017,2,11725,2017,8,6,QTR3,weekend,monsoon,201,49,48,67,134,11725,,,
8/14/2017,1,2888,2017,8,0,QTR3,weekday,monsoon,200,48,47,66,133,2888,,,
8/14/2017,2,18639,2017,8,0,QTR3,weekday,monsoon,200,48,47,66,133,18639,,,
8/15/2017,1,1229,2017,8,1,QTR3,weekday,monsoon,199,47,46,65,132,1229,,,
8/15/2017,2,17082,2017,8,1,QTR3,weekday,monsoon,199,47,46,65,132,17082,,,
8/16/2017,1,2269,2017,8,2,QTR3,weekday,monsoon,198,46,45,64,131,2269,,,
8/16/2017,2,20262,2017,8,2,QTR3,weekday,monsoon,198,46,45,64,131,20262,,,
8/17/2017,1,2012,2017,8,3,QTR3,weekday,monsoon,197,45,44,63,130,2012,,,
8/17/2017,2,21928,2017,8,3,QTR3,weekday,monsoon,197,45,44,63,130,21928,,,
8/18/2017,1,2141,2017,8,4,QTR3,weekday,monsoon,196,44,43,62,129,2141,,,
8/18/2017,2,21309,2017,8,4,QTR3,weekday,monsoon,196,44,43,62,129,21309,,,
8/19/2017,1,1723,2017,8,5,QTR3,weekday,monsoon,195,43,42,61,128,1723,,,
8/19/2017,2,20726,2017,8,5,QTR3,weekday,monsoon,195,43,42,61,128,20726,,,
8/20/2017,1,813,2017,8,6,QTR3,weekend,monsoon,194,42,41,60,127,813,,,
8/20/2017,2,15069,2017,8,6,QTR3,weekend,monsoon,194,42,41,60,127,15069,,,
8/21/2017,1,2344,2017,8,0,QTR3,weekday,monsoon,193,41,40,59,126,2344,,,
8/21/2017,2,17871,2017,8,0,QTR3,weekday,monsoon,193,41,40,59,126,17871,,,
8/22/2017,1,2063,2017,8,1,QTR3,weekday,monsoon,192,40,39,58,125,2063,,,
8/22/2017,2,19539,2017,8,1,QTR3,weekday,monsoon,192,40,39,58,125,19539,,,
8/23/2017,1,2504,2017,8,2,QTR3,weekday,monsoon,191,39,38,57,124,2504,,,
8/23/2017,2,17197,2017,8,2,QTR3,weekday,monsoon,191,39,38,57,124,17197,,,
8/24/2017,1,2693,2017,8,3,QTR3,weekday,monsoon,190,38,37,56,123,2693,,,
8/24/2017,2,13876,2017,8,3,QTR3,weekday,monsoon,190,38,37,56,123,13876,,,
8/25/2017,1,2358,2017,8,4,QTR3,weekday,monsoon,189,37,36,55,122,2358,,,
8/25/2017,2,10181,2017,8,4,QTR3,weekday,monsoon,189,37,36,55,122,10181,,,
8/26/2017,1,1589,2017,8,5,QTR3,weekday,monsoon,188,36,35,54,121,1589,,,
8/26/2017,2,9340,2017,8,5,QTR3,weekday,monsoon,188,36,35,54,121,9340,,,
8/27/2017,1,839,2017,8,6,QTR3,weekend,monsoon,187,35,34,53,120,839,,,
8/27/2017,2,6762,2017,8,6,QTR3,weekend,monsoon,187,35,34,53,120,6762,,,
8/28/2017,1,2301,2017,8,0,QTR3,weekday,monsoon,186,34,33,52,119,2301,,,
8/28/2017,2,4695,2017,8,0,QTR3,weekday,monsoon,186,34,33,52,119,4695,,,
